,rowlabel,split,sex,yrsarea,resyrago,work2,tenure1,livharm1,agegrp7,ethgrp2a,educat3,rural2,edeprivex,wdeprivex,IndivWgtx,cause2m,walkdark,walkday,homealon,wburgl,wmugged,wcarstol,wfromcar,wraped,wattack,wraceatt,worryx,bcsvictim,rubbcomm,vandcomm,poorhou,antisocx
2801,136149040,D (Online Security),Female,20 years or longer,,Yes,Own it outright,Single,65-74,White,None,Urban,3.0,,0.6074539,Spontaneous: None of these,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,
2802,136868210,A (Experiences of the police),Male,10 years but less than 20 years,,No,Rent it,Single,55-64,White,Other,Urban,2.0,,0.6651098,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.5009801
2803,136224120,D (Online Security),Female,3 years but less than 5 years,,No,Rent it,Single,55-64,White,Degree or diploma,Urban,3.0,,0.57081616,Spontaneous: None of these,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,
2804,136397030,C (Crime prevention and security),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Cohabiting,25-34,White,Degree or diploma,Urban,5.0,,0.6020149,,,,,Not at all worried,Not very worried,,,Not at all worried,Not at all worried,Not at all worried,-1.0800643,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2805,136536330,A (Experiences of the police),Female,20 years or longer,,Yes,Own it outright,Single,45-54,White,O level/GCSE,Urban,2.0,,0.926506,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,0.03652029
2806,147277080,D (Online Security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Cohabiting,45-54,White,O level/GCSE,Urban,2.0,,1.1682281,D. Lack of discipline from parents,A bit unsafe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,
2807,136517230,C (Crime prevention and security),Female,5 years but less than 10 years,,No,Own it outright,Married/Civil Partnered,65-74,White,O level/GCSE,Urban,5.0,,0.5929418,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not very worried,0.04175851,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2808,136429120,D (Online Security),Female,20 years or longer,,No,Rent it,Widowed,75+,White,None,Urban,1.0,,0.68551296,A. Too lenient sentencing,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
2809,136454220,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Apprenticeship or A/AS level,Rural,3.0,,2.3291247,,,,,,,Fairly worried,Fairly worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2810,136510180,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Single,55-64,White,O level/GCSE,Urban,2.0,,0.39608422,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2811,136692160,D (Online Security),Female,2 years but less than 3 years,,No,Rent it,Married/Civil Partnered,25-34,Asian or Asian British,Degree or diploma,Urban,2.0,,4.01731,B. Poverty,A bit unsafe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,
2812,136352170,A (Experiences of the police),Male,3 years but less than 5 years,,Yes,Own it outright,Married/Civil Partnered,55-64,White,None,Urban,2.0,,1.2668704,,,,,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,0.4396914
2813,136753270,C (Crime prevention and security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,5.0,,0.62092483,,,,,Not very worried,Fairly worried,,,Not very worried,Fairly worried,Not at all worried,0.37153995,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2814,136283180,B (Attitudes to the CJS),Female,3 years but less than 5 years,Yes,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Separate,35-44,Asian or Asian British,None,Urban,2.0,,0.6091851,,,,,,,,,,,,,Not a victim of crime,Fairly common,Fairly common,Fairly common,
2815,136570140,B (Attitudes to the CJS),Female,20 years or longer,,No,Rent it,Widowed,75+,White,None,Urban,2.0,,0.7005279,,,,,,,Not very worried,Fairly worried,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
2816,136680260,B (Attitudes to the CJS),Female,Less than 12 months,No,Yes,Rent it,Single,16-24,White,Degree or diploma,Urban,,2.0,0.3233601,,,,,,,Not very worried,Fairly worried,,,,,Victim of crime,Not very common,Not at all common,Fairly common,
2817,137190090,A (Experiences of the police),Female,10 years but less than 20 years,No,Yes,Rent it,Single,25-34,White,None,Urban,2.0,,0.67336816,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,1.2626674
2818,136414230,C (Crime prevention and security),Female,3 years but less than 5 years,Yes,No,Buying it with the help of a mortgage or loan,Separate,45-54,White,Degree or diploma,Urban,5.0,,0.6171123,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not very worried,0.04175851,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2819,136768310,C (Crime prevention and security),Female,Less than 12 months,No,Yes,Rent it,Married/Civil Partnered,25-34,Asian or Asian British,Degree or diploma,Urban,4.0,,1.9014608,,,,,Not at all worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-1.3885418,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2820,136932260,B (Attitudes to the CJS),Male,10 years but less than 20 years,,No,Own it outright,Widowed,65-74,White,O level/GCSE,Urban,4.0,,0.49049127,,,,,,,Fairly worried,Very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2821,136552040,D (Online Security),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,5.0,,1.1282679,D. Lack of discipline from parents,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
2822,136070020,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Pay part rent and part mortgage (shared ownership),Married/Civil Partnered,25-34,White,Apprenticeship or A/AS level,Rural,3.0,,0.7112297,,,,,,,Not very worried,Fairly worried,,,,,Victim of crime,Not very common,Not very common,Not very common,
2823,137093090,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,Degree or diploma,Urban,5.0,,1.5258528,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.72201604
2824,137083010,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Own it outright,Single,35-44,White,Degree or diploma,Rural,,4.0,0.34487584,,,,,,,,,,,,,Victim of crime,Not very common,Not very common,Not very common,-0.3191012
2825,147356240,D (Online Security),Male,2 years but less than 3 years,Yes,Yes,Rent it,Married/Civil Partnered,25-34,White,Degree or diploma,Rural,4.0,,0.74840486,A. Too lenient sentencing,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2826,137110290,A (Experiences of the police),Male,5 years but less than 10 years,Yes,Yes,Rent it,Married/Civil Partnered,35-44,Asian or Asian British,O level/GCSE,Urban,1.0,,1.4126796,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,-1.2152667
2827,136420050,A (Experiences of the police),Male,Less than 12 months,No,Yes,Rent it,Single,16-24,White,Degree or diploma,Urban,3.0,,2.3576102,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Fairly common,0.5168231
2828,137186040,D (Online Security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Degree or diploma,Urban,5.0,,1.2207575,H. Breakdown of family,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2829,136788100,B (Attitudes to the CJS),Female,3 years but less than 5 years,,No,Own it outright,Widowed,65-74,White,None,Rural,2.0,,0.40256143,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2830,136859070,C (Crime prevention and security),Female,Less than 12 months,No,Yes,Rent it,Married/Civil Partnered,25-34,White,Degree or diploma,Urban,3.0,,1.4414968,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not very worried,0.04175851,Not a victim of crime,Not very common,Not very common,Not very common,
2831,136582300,B (Attitudes to the CJS),Male,20 years or longer,No,Yes,Rent it,Single,16-24,White,Degree or diploma,Urban,1.0,,1.5869541,,,,,,,Not very worried,Not at all worried,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,
2832,136489270,C (Crime prevention and security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,None,Urban,2.0,,0.49078986,,,,,Not very worried,Fairly worried,,,Fairly worried,Fairly worried,Not at all worried,0.6396054,Not a victim of crime,Not very common,Not very common,Not very common,
2833,136913070,C (Crime prevention and security),Male,5 years but less than 10 years,,Yes,Rent it,Single,25-34,White,Degree or diploma,Urban,2.0,,0.7356632,,,,,Fairly worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-0.875262,Victim of crime,Fairly common,Not at all common,Fairly common,
2834,136039220,B (Attitudes to the CJS),Female,20 years or longer,No,No,Own it outright,Divorced,55-64,White,O level/GCSE,Urban,4.0,,0.583152,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2835,137226290,A (Experiences of the police),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,Apprenticeship or A/AS level,Urban,,2.0,0.75629586,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not at all common,0.3473443
2836,136664330,A (Experiences of the police),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,None,Rural,4.0,,0.6443702,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.2152667
2837,136876280,D (Online Security),Female,Less than 12 months,No,Yes,Buying it with the help of a mortgage or loan,Cohabiting,25-34,White,Apprenticeship or A/AS level,Urban,1.0,,0.58942217,E. Drugs,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2838,136718050,A (Experiences of the police),Female,10 years but less than 20 years,,Yes,Rent it,Divorced,55-64,White,O level/GCSE,Urban,2.0,,0.54095286,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,0.012643457
2839,136761120,D (Online Security),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Single,35-44,White,Degree or diploma,Urban,2.0,,0.7442702,E. Drugs,Fairly safe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,
2840,137015170,A (Experiences of the police),Male,3 years but less than 5 years,,No,Rent it,Single,45-54,White,None,Urban,2.0,,0.6065061,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2841,136006120,D (Online Security),Male,5 years but less than 10 years,,Yes,Rent it,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,5.0,,1.4219793,Spontaneous: None of these,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2842,147314020,B (Attitudes to the CJS),Female,5 years but less than 10 years,,Yes,Rent it,Cohabiting,35-44,White,O level/GCSE,Urban,2.0,,1.3263445,,,,,,,Very worried,Very worried,,,,,Victim of crime,Not very common,Not at all common,Not very common,
2843,136829100,B (Attitudes to the CJS),Male,20 years or longer,,No,Rent it,Separate,55-64,White,Apprenticeship or A/AS level,Urban,3.0,,0.58601665,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,
2844,136523180,B (Attitudes to the CJS),Female,20 years or longer,,No,Rent it,Married/Civil Partnered,25-34,White,Apprenticeship or A/AS level,Urban,2.0,,1.2142304,,,,,,,Not very worried,Not very worried,,,,,Victim of crime,Not very common,Not very common,Fairly common,
2845,136543080,D (Online Security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Divorced,45-54,White,Degree or diploma,Rural,,3.0,0.23664579,G. Unemployment,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2846,147293250,A (Experiences of the police),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Urban,4.0,,0.53947693,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.2152667
2847,137182060,B (Attitudes to the CJS),Female,20 years or longer,,No,Rent it,Married/Civil Partnered,65-74,Black or Black British,Apprenticeship or A/AS level,Urban,4.0,,1.038269,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
2848,147430120,D (Online Security),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Rural,3.0,,0.56873477,F. Alcohol,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2849,136552250,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Divorced,65-74,White,Degree or diploma,Urban,5.0,,0.5854721,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,0.06398861
2850,147557190,C (Crime prevention and security),Female,3 years but less than 5 years,No,Yes,Rent it,Single,16-24,White,Apprenticeship or A/AS level,Urban,5.0,,0.6461059,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,-0.24614827,Not a victim of crime,Not very common,Not at all common,Not very common,
2851,136501180,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Buying it with the help of a mortgage or loan,Cohabiting,65-74,White,Degree or diploma,Urban,1.0,,0.92088825,,,,,,,Fairly worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2852,136587330,A (Experiences of the police),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Rural,5.0,,1.2634205,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.2152667
2853,136245200,D (Online Security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,Other,Urban,5.0,,0.8512918,B. Poverty,Fairly safe,Fairly safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2854,136090020,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Own it outright,Single,35-44,White,Degree or diploma,Urban,3.0,,0.52620816,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,
2855,136071260,B (Attitudes to the CJS),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Single,35-44,White,Apprenticeship or A/AS level,Urban,4.0,,0.3129024,,,,,,,Not at all worried,Fairly worried,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,
2856,147610150,C (Crime prevention and security),Female,20 years or longer,,Yes,Rent it,Married/Civil Partnered,25-34,White,Apprenticeship or A/AS level,Urban,1.0,,1.2218697,,,,,Fairly worried,Fairly worried,,,Not very worried,Not very worried,Not at all worried,0.3189691,Victim of crime,Not very common,Not very common,Not very common,
2857,136650270,C (Crime prevention and security),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Cohabiting,35-44,White,Apprenticeship or A/AS level,Urban,1.0,,0.7460439,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not very worried,-0.22630692,Victim of crime,Not at all common,Not at all common,Not at all common,
2858,136090160,D (Online Security),Male,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,Black or Black British,Degree or diploma,Urban,4.0,,1.2199754,H. Breakdown of family,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2859,147290070,C (Crime prevention and security),Female,Less than 12 months,No,Yes,Rent it,Single,25-34,White,O level/GCSE,Urban,3.0,,0.6680139,,,,,Not very worried,Not very worried,,,Not very worried,Fairly worried,Not at all worried,0.063062444,Victim of crime,Fairly common,Fairly common,Fairly common,
2860,136211250,A (Experiences of the police),Male,3 years but less than 5 years,,No,Own it outright,Married/Civil Partnered,65-74,White,O level/GCSE,Urban,5.0,,1.6698304,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,0.012643457
2861,136520250,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Degree or diploma,Rural,2.0,,0.73053133,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not very common,0.23735224
2862,137185030,C (Crime prevention and security),Female,12 months but less than 2 years,Yes,No,Rent it,Separate,55-64,White,Degree or diploma,Urban,1.0,,0.46752664,,,,,Very worried,Very worried,,,Not at all worried,Fairly worried,Not at all worried,0.9252318,Victim of crime,Not at all common,Not at all common,Not at all common,
2863,136930200,D (Online Security),Female,5 years but less than 10 years,,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Rural,3.0,,0.8098549,E. Drugs,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2864,136429270,C (Crime prevention and security),Male,3 years but less than 5 years,,Yes,Rent it,Married/Civil Partnered,25-34,White,O level/GCSE,Urban,1.0,,1.3560587,,,,,Very worried,Fairly worried,,,Not at all worried,Fairly worried,Not at all worried,0.6167543,Not a victim of crime,Not very common,Not very common,Not very common,
2865,136139090,A (Experiences of the police),Male,10 years but less than 20 years,,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Cohabiting,25-34,White,Other,Urban,2.0,,3.362375,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,0.8021521
2866,137138070,C (Crime prevention and security),Male,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Single,35-44,White,Degree or diploma,Urban,2.0,,0.33651522,,,,,Not very worried,Not at all worried,,,Not at all worried,Not very worried,Not applicable,,Not a victim of crime,Fairly common,Not very common,Not very common,
2867,147295070,C (Crime prevention and security),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,None,Urban,2.0,,0.9567483,,,,,Fairly worried,Fairly worried,,,Not very worried,Very worried,Fairly worried,1.5132041,Not a victim of crime,Fairly common,Not very common,Not very common,
2868,147556240,D (Online Security),Male,5 years but less than 10 years,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Rural,5.0,,0.7068509,D. Lack of discipline from parents,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2869,137095010,A (Experiences of the police),Male,3 years but less than 5 years,,Yes,Rent it,Married/Civil Partnered,45-54,Black or Black British,Degree or diploma,Urban,1.0,,1.4398112,,,,,,,,,,,,,Victim of crime,Fairly common,Fairly common,Not very common,0.06415743
2870,137137270,C (Crime prevention and security),Female,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Divorced,35-44,White,Degree or diploma,Rural,3.0,,0.6543768,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not very worried,0.04175851,Victim of crime,Not very common,Not at all common,Not at all common,
2871,136782150,C (Crime prevention and security),Female,10 years but less than 20 years,,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,O level/GCSE,Rural,4.0,,0.9507283,,,,,Not at all worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-1.3885418,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2872,136510170,A (Experiences of the police),Female,3 years but less than 5 years,,Yes,Rent it,Single,25-34,Black or Black British,Degree or diploma,Urban,2.0,,0.49647814,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.9982388
2873,136495110,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Single,55-64,White,O level/GCSE,Urban,5.0,,0.5201389,,,,,Very worried,Very worried,,,Very worried,Very worried,Not very worried,2.3265455,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2874,136480100,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,Other,Rural,5.0,,0.2984655,,,,,,,Not very worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2875,136244010,A (Experiences of the police),Female,2 years but less than 3 years,,No,Rent it,Single,16-24,White,O level/GCSE,Urban,1.0,,0.4709553,,,,,,,,,,,,,Victim of crime,Fairly common,Not very common,Not very common,0.4414323
2876,136679340,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Apprenticeship or A/AS level,Rural,,3.0,0.43521103,,,,,,,Not very worried,Fairly worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2877,135517220,B (Attitudes to the CJS),Male,10 years but less than 20 years,No,Yes,Buying it with the help of a mortgage or loan,Cohabiting,45-54,White,Degree or diploma,Urban,1.0,,1.2095398,,,,,,,Not at all worried,Not very worried,,,,,Victim of crime,Fairly common,Fairly common,Fairly common,
2878,136299040,D (Online Security),Male,20 years or longer,,No,Own it outright,Single,65-74,White,O level/GCSE,Urban,2.0,,0.55129737,E. Drugs,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Fairly common,Not at all common,Fairly common,
2879,136467250,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Own it outright,Married/Civil Partnered,45-54,Asian or Asian British,None,Urban,5.0,,1.4439772,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.939044
2880,136116130,A (Experiences of the police),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Divorced,55-64,White,Degree or diploma,Urban,3.0,,0.45803112,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.5361292
2881,136507070,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,O level/GCSE,Urban,4.0,,1.0453881,,,,,Very worried,Very worried,,,Very worried,Very worried,Very worried,2.9023592,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2882,136916140,B (Attitudes to the CJS),Female,10 years but less than 20 years,,Yes,Pay part rent and part mortgage (shared ownership),Divorced,55-64,White,Apprenticeship or A/AS level,Urban,3.0,,0.568344,,,,,,,Not very worried,Fairly worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2883,136423060,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Divorced,45-54,White,Apprenticeship or A/AS level,Urban,1.0,,0.5885245,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
2884,137128010,A (Experiences of the police),Male,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,Mixed,Apprenticeship or A/AS level,Urban,1.0,,1.5627362,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,1.491049
2885,136556140,B (Attitudes to the CJS),Female,3 years but less than 5 years,,Yes,Rent it,Single,35-44,Black or Black British,Degree or diploma,Urban,1.0,,0.64633024,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not very common,Fairly common,Not very common,
2886,136657310,C (Crime prevention and security),Female,20 years or longer,,No,Rent it,Single,25-34,White,O level/GCSE,Urban,2.0,,0.4911484,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not applicable,,Not a victim of crime,Not very common,Not very common,Not very common,
2887,136168270,C (Crime prevention and security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,White,O level/GCSE,Urban,5.0,,1.1875322,,,,,Fairly worried,Fairly worried,,,Fairly worried,Fairly worried,Not at all worried,0.89624524,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2888,136896160,D (Online Security),Female,12 months but less than 2 years,Yes,Yes,Rent it,Single,16-24,White,Degree or diploma,Urban,2.0,,2.7554731,E. Drugs,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
2889,136430230,C (Crime prevention and security),Male,5 years but less than 10 years,,No,Rent it,Single,35-44,White,O level/GCSE,Urban,3.0,,0.57586324,,,,,Very worried,Fairly worried,,,Fairly worried,Fairly worried,Not very worried,1.440792,Not a victim of crime,Not very common,Not at all common,Not very common,
2890,136019010,A (Experiences of the police),Male,5 years but less than 10 years,Yes,Yes,Rent it,Married/Civil Partnered,35-44,Asian or Asian British,None,Urban,1.0,,1.2195612,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,-1.2152667
2891,136396030,C (Crime prevention and security),Female,12 months but less than 2 years,Yes,No,Own it outright,Cohabiting,55-64,White,None,Urban,5.0,,0.7884065,,,,,Fairly worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,0.010491609,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2892,137153120,D (Online Security),Female,20 years or longer,,Yes,Rent it,Single,45-54,White,Apprenticeship or A/AS level,Rural,3.0,,2.1019151,D. Lack of discipline from parents,A bit unsafe,Fairly safe,Very safe,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not very common,
2893,136164170,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Divorced,45-54,White,Degree or diploma,Urban,5.0,,0.56199074,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not very common,-0.7255201
2894,136578050,A (Experiences of the police),Female,12 months but less than 2 years,Yes,No,Rent it,Single,25-34,Black or Black British,None,Urban,3.0,,0.62080145,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,0.49454054
2895,135629270,C (Crime prevention and security),Female,3 years but less than 5 years,No,No,Rent it,Single,65-74,White,Degree or diploma,Urban,3.0,,1.4651266,,,,,Not very worried,Not at all worried,,,Not at all worried,Fairly worried,Not at all worried,-0.5134805,Not a victim of crime,Not very common,Not very common,Not very common,
2896,136205140,B (Attitudes to the CJS),Male,3 years but less than 5 years,,Yes,Rent it,Divorced,45-54,Asian or Asian British,Degree or diploma,Urban,2.0,,0.4460391,,,,,,,Not at all worried,Not very worried,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,
2897,136903170,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Single,45-54,White,Other,Urban,4.0,,0.5813438,,,,,,,,,,,,,Victim of crime,Not very common,Not very common,Not very common,
2898,136072030,C (Crime prevention and security),Male,20 years or longer,,No,Rent it,Divorced,55-64,White,Apprenticeship or A/AS level,Urban,1.0,,0.28977835,,,,,Not very worried,Fairly worried,,,Not very worried,Very worried,Not at all worried,0.68075067,Not a victim of crime,Not very common,Not very common,Not very common,
2899,137013060,B (Attitudes to the CJS),Male,5 years but less than 10 years,,No,Own it outright,Cohabiting,55-64,White,None,Rural,4.0,,0.22463106,,,,,,,Fairly worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2900,136365040,D (Online Security),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,O level/GCSE,Urban,5.0,,0.86417866,D. Lack of discipline from parents,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2901,147532280,D (Online Security),Female,5 years but less than 10 years,,No,Rent it,Widowed,75+,White,Apprenticeship or A/AS level,Urban,3.0,,0.70071673,A. Too lenient sentencing,Very unsafe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Fairly common,Not at all common,Not at all common,
